Epoch,Temp C,Humidity %,Pressure mB
1761186821,29.4,35.96191,1005.7403
1761186851,29.43,36.23047,1005.7514
1761186881,29.43,36.0459,1005.75842
1761186911,29.42,35.60449,1005.74969
1761186941,29.39,35.49902,1005.78955
1761186971,29.4,35.61426,1005.74139
1761187001,29.32,35.59668,1005.72406
1761187031,29.34,35.85254,1005.74017
1761187061,29.32,35.57422,1005.6886
1761187091,29.32,35.74707,1005.74518
1761187121,29.33,35.67871,1005.74298
1761187151,29.35,35.5293,1005.76123
1761187181,29.37,35.61328,1005.76813
1761187211,29.37,35.58984,1005.73828
1761187241,29.37,35.19629,1005.71198
1761187271,29.37,35.0918,1005.73444
1761187301,29.4,35.19727,1005.76111
1761187331,29.42,35.25781,1005.78021
1761187361,29.42,35.4082,1005.76904
1761187391,29.39,35.62598,1005.77869
1761187421,29.34,35.32031,1005.75592
1761187451,29.37,34.96484,1005.76538
1761187481,29.36,34.9873,1005.77563
1761187511,29.31,34.89062,1005.83826
1761187541,29.29,35.29297,1005.82141
1761187571,29.25,34.8623,1005.8078
1761187601,29.28,35.33984,1005.81897
1761187631,29.17,35.0752,1005.78766
1761187661,29.17,35.08691,1005.78424
1761187691,29.23,34.89551,1005.77734
1761187721,29.29,35.6875,1005.81299
1761187751,29.4,35.99707,1005.80573
1761187781,29.4,37.25879,1005.80389
1761187811,29.49,37.16113,1005.80469
1761187841,29.49,37.18457,1005.81696
1761187871,29.48,36.82422,1005.80359
1761187901,29.5,36.54883,1005.76947
1761187931,29.5,36.375,1005.77789
1761187961,29.51,36.35352,1005.7785
1761187991,29.49,36.52441,1005.7326
1761188021,29.53,36.4707,1005.72925
1761188051,29.58,36.34766,1005.71533
1761188081,29.59,36.56738,1005.73248
1761188111,29.6,36.60352,1005.67584
1761188141,29.64,36.50195,1005.71045
1761188171,29.6,36.09375,1005.68854
1761188201,29.61,35.81641,1005.65186
1761188231,29.62,35.84082,1005.72638
1761188261,29.63,36.18848,1005.67401
1761188291,29.64,35.84277,1005.68976
1761188321,29.63,35.8418,1005.67468
1761188351,29.64,35.95801,1005.64789
1761188381,29.64,35.5293,1005.66486
1761188411,29.62,35.65527,1005.6554
1761188441,29.62,35.65527,1005.68671
1761188471,29.64,35.69141,1005.70422
1761188501,29.63,35.58691,1005.66937
1761188531,29.66,35.72754,1005.66229
1761188561,29.64,35.27441,1005.68481
1761188591,29.65,35.51953,1005.69885
1761188621,29.63,35.40234,1005.71716
1761188651,29.65,35.46191,1005.67419
1761188681,29.68,35.74121,1005.63861
1761188711,29.65,35.65723,1005.63806
1761188741,29.67,35.57812,1005.6731
1761188771,29.66,35.63574,1005.68439
1761188801,29.66,35.26465,1005.69037
1761188831,29.71,35.53516,1005.68835
1761188861,29.68,35.61328,1005.66321
1761188891,29.71,35.59277,1005.66205
1761188921,29.72,35.87109,1005.70557
1761188951,29.71,35.65039,1005.66937
1761188981,29.73,35.6875,1005.6911
1761189011,29.75,35.31836,1005.73987
1761189041,29.74,35.44434,1005.6925
1761189071,29.74,35.43359,1005.70862
1761189101,29.71,35.29102,1005.70593
1761189131,29.66,35.55469,1005.79999
1761189161,29.67,35.4043,1005.76764
1761189191,29.71,35.68555,1005.74109
1761189221,29.7,35.95117,1005.74579
1761189251,29.71,35.58105,1005.75061
1761189281,29.75,36.05957,1005.79779
1761189311,29.75,35.59668,1005.77362
1761189341,29.76,35.45801,1005.78656
1761189371,29.76,35.28418,1005.80658
1761189401,29.77,35.38867,1005.77985
1761189431,29.77,35.33105,1005.80969
1761189461,29.75,35.2373,1005.80634
1761189491,29.76,35.2959,1005.80591
1761189521,29.71,35.46582,1005.8125
1761189551,29.73,35.23535,1005.77759
1761189581,29.74,35.16699,1005.83344
1761189611,29.71,35.20996,1005.82617
1761189641,29.75,35.6543,1005.82422
1761189671,29.74,35.29395,1005.80743
1761189701,29.76,35.09863,1005.82672
1761189731,29.75,35.44531,1005.80078
1761189761,29.73,35.1543,1005.81244
1761189791,29.71,35.22168,1005.79102
1761189821,29.73,35.1543,1005.8075
1761189851,29.73,34.89941,1005.81091
1761189881,29.73,34.69141,1005.82892
1761189911,29.71,34.79297,1005.82446
1761189941,29.73,35.21289,1005.80188
1761189971,29.74,35.28223,1005.83844
1761190001,29.77,35.12305,1005.80627
1761190031,29.78,35.23926,1005.80023
1761190061,29.77,34.85547,1005.83508
1761190091,29.79,34.78711,1005.8006
1761190121,29.81,35.06738,1005.77344
1761190151,29.78,35.04199,1005.79987
1761190181,29.75,35.15527,1005.79718
1761190211,29.76,35.14551,1005.79156
1761190241,29.77,34.84473,1005.78998
1761190271,29.77,34.83301,1005.76685
1761190301,29.75,34.80859,1005.79297
1761190331,29.79,34.95117,1005.80157
1761190361,29.81,35.09082,1005.78247
1761190391,29.79,35.73926,1005.80859
1761190421,29.9,36.30371,1005.79297
1761190451,29.92,36.00293,1005.77563
1761190481,29.91,35.80566,1005.75531
1761190511,29.91,35.71289,1005.75214
1761190541,29.91,35.59668,1005.75171
1761190571,29.89,35.83984,1005.76233
1761190601,29.87,35.6748,1005.76459
1761190631,29.89,35.61816,1005.75079
1761190661,29.89,35.38672,1005.73151
1761190691,29.87,35.16504,1005.73938
1761190721,29.82,35.28906,1005.73529
1761190751,29.84,35.42871,1005.71454
1761190781,29.86,35.04785,1005.72217
1761190811,29.86,35.32617,1005.69751
1761190841,29.87,35.07227,1005.70093
1761190871,29.81,35.11426,1005.69611
1761190901,29.83,35.15039,1005.67798
1761190931,29.84,35.41699,1005.7265
1761190961,29.87,35.18848,1005.73267
1761190991,29.88,35.36328,1005.69916
1761191021,29.89,35.00488,1005.6994
1761191051,29.91,35.13379,1005.71625
1761191081,29.85,35.48828,1005.68109
1761191111,29.87,35.16504,1005.66235
1761191141,29.86,35.25684,1005.6275
1761191171,29.89,34.90039,1005.67377
1761191201,29.92,34.99512,1005.68311
1761191231,29.89,34.91211,1005.67798
1761191261,29.89,34.73828,1005.62341
1761191291,29.9,35.12109,1005.67657
